=== ps aux top 200 ===
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root       17469  0.1  0.5 1322120 84996 ?       Ssl  Feb28   3:02 /usr/sbin/tailscaled --state=/var/lib/tailscale/tailscaled.state --socket=/run/tailscale/tailscaled.sock --port=41641
ollama     73431  0.0  0.2 2010848 36192 ?       Ssl  04:00   0:00 /usr/local/bin/ollama serve
root         431  0.0  0.1  66900 31016 ?        S<s  Feb28   0:54 /usr/lib/systemd/systemd-journald
root       13155  0.0  0.1 223416 27160 ?        SLsl Feb28   0:13 /sbin/multipathd -d -s
root        1138  0.0  0.1 109688 23136 ?        Ssl  Feb28   0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         251  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-scsi_]
root         252  0.0  0.0      0     0 ?        S    Feb28   0:00 [scsi_eh_3]
root         253  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-scsi_]
root         254  0.0  0.0      0     0 ?        S    Feb28   0:00 [scsi_eh_4]
root         255  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-scsi_]
root         258  0.0  0.0      0     0 ?        S    Feb28   0:00 [scsi_eh_5]
root         259  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-scsi_]
root         267  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-ttm]
root         278  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/4:2H]
root         317  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-raid5]
root         359  0.0  0.0      0     0 ?        S    Feb28   0:03 [jbd2/vda2-8]
root         360  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-ext4-]
root         460  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-kmpat]
root         461  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-kmpat]
root         489  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-ixgbe]
root         497  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-tls-s]
root         502  0.0  0.0      0     0 ?        S    Feb28   0:00 [psimon]
root         863  0.0  0.0      0     0 ?        I<   Feb28   0:00 [kworker/R-cfg80]
root       17965  0.0  0.0      0     0 ?        I    Feb28   0:03 [kworker/1:2-events]
root       37203  0.0  0.0      0     0 ?        I    Mar01   0:03 [kworker/0:2-events]
root       39668  0.0  0.0      0     0 ?        I    Mar01   0:01 [kworker/5:0-mm_percpu_wq]
